№,ФОТО,ID авто,Марка авто,Игровое название,Магазин по маджестику,Магазин по серверу,,Ссылка на фото
1,,amgone,"Mercedes-AMG
Project One",Benefactor-ASG P-One,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/amgone.png
2,,imola,Pagani Imola,Pegassi Emola,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/imola.png
3,,918s,Porsche 918 Spyder,Pfister 819 Spyder,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/918s.png
4,,jesko20,Koenigsegg Jesko,Entity Gesko,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/jesko20.png
5,,720s,McLaren 720S,Progen 720c,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/720s.png
6,,rrphantom,"Rolls-Royce
Phantom VIII",Enus Phantasm VIII,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/rrphantom.png
7,,gemera,"Koenigsegg
Gemera",Entity Gemera,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/gemera.png
8,,countach,"Lamborghini
Countach",Pegassi Coutron,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/countach.png
9,,ff12,"Ferrari F12
Berlinetta",Grotti F21 Verleeneta,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/ff12.png
10,,veyron,Bugatti Veyron,Truffade Weyron,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/veyron.png
11,,q8,Audi Q8,Obey 08,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/q8.png
12,,488pista,Ferrari 488 Pista,Grotti 884 Pizta,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/488pista.png
13,,m7g70,BMW 7-series G70,Ubermacht 7-line J70,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/m7g70.png
14,,sclass3,"Mercedes-Benz 
S-Class W223","Benefactor S-Series 
M223",Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/sclass3.png
15,,etron,Aidi E-tron,Obey I-tron GS,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/etron2.png
16,,vulcan,"Aston Martin 
Vulcan",Dewbauchee Vulcore,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/vulcan.png
17,,reventon,"Lamborghini
Reventon",Pegassi Eventora,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/reventon.png
18,,taycan,Porsche Taycan,Pfister Teycan,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/taycan.png
19,,eclass3,"Mercedes-Benz 
E-Class W214","Benefactor E-Series
M214",Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/eclass3.png
20,,5series,BMW 5-seires G60,Ubermacht 5-line J60,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/5series.png
21,,x6m2,"BMW
X6 M 2021",Ubermacht Y6 W H96,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/x6m2.png
22,,models,Tesla Model S,Coil Line S,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/models.png
23,,gt63s,"Mercedes-AMG
GT 63 S","Benefactor ASG GS
4-door",Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/gt63s.png
24,,f150,Ford F150 Raptor,Vapid P-150 Predator,Магазин,магазин премиум,,https://cdn.majestic-files.com/public/master/static/img/vehicles/f150.png
