Фото,Название,Стоимость,URL фото
,Заправка #28,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/28.jpg
,Заправка #27,$600 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/27.jpg
,Заправка #26,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/26.jpg
,Заправка #25,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/25.jpg
,Заправка #24,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/24.jpg
,Заправка #23,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/23.jpg
,Заправка #22,$600 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/22.jpg
,Заправка #21,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/21.jpg
,Заправка #20,$750 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/20.jpg
,Заправка #19,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/19.jpg
,Заправка #18,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/18.jpg
,Заправка #17,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/17.jpg
,Заправка #16,$800 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/16.jpg
,Заправка #15,$750 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/15.jpg
,Заправка #14,$750 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/14.jpg
,Заправка #13,$500 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/13.jpg
,Заправка #12,$600 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/12.jpg
,Заправка #11,$800 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/11.jpg
,Заправка #10,$800 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/10.jpg
,Заправка #9,$900 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/9.jpg
,Заправка #8,$1 250 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/8.jpg
,Заправка #7,$1 250 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/7.jpg
,Заправка #6,$1 100 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/6.jpg
,Заправка #5,$1 000 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/5.jpg
,Заправка #4,$1 000 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/4.jpg
,Заправка #3,$1 000 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/3.jpg
,Заправка #2,$1 250 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/2.jpg
,Заправка #1,$1 000 000,https://cdn.majestic-files.com/public/master/static/img/playermenu/property/fuel_stations/1.jpg

